Database,Pathway,P-value,Adjusted P-value,Combined Score,N Genes Overlap,Genes,Compostos Associados,Aging Related
GO_BP,DNA Damage Response (GO:0006974),1.266513e-06,2.791718e-05,214.79,7,RPTOR; STK11; BCL2; ABL1; SIRT1; MTOR; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; Rapamycin; Resveratrol; VENETOCLAX,Yes
GO_BP,Positive Regulation Of Multicellular Organismal Process (GO:0051240),1.333916e-06,2.879035e-05,212.24,7,GHR; IL6; PRKAA1; PPARG; SIRT1; MTOR; IGF1R,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; MECASERMIN; Metformin; ROSIGLITAZONE; Rapamycin; Resveratrol; SILTUXIMAB; SOMATROPIN,No
GO_BP,Selective Autophagy (GO:0061912),1.649112e-06,3.486695e-05,755.52,4,BECN1; MAP1LC3B; ULK1; ATG5,Spermidine,Yes
KEGG,Apelin signaling pathway,1.740210e-06,1.426972e-05,398.61,5,BECN1; PRKAA1; PRKAA2; RPS6KB1; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin; Spermidine,No
GO_BP,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),2.022102e-06,4.107642e-05,704.69,4,SRC; BCL2; SIRT1; NFE2L2,BARDOXOLONE METHYL; Dasatinib; Resveratrol; VENETOCLAX,No
GO_BP,Autophagosome Organization (GO:1905037),2.022102e-06,4.107642e-05,704.69,4,BECN1; MAP1LC3B; ULK1; ATG5,Spermidine,No
GO_BP,Phosphatidylinositol-Mediated Signaling (GO:0048015),2.159311e-06,4.302012e-05,689.04,4,RPS6KB1; PIK3R1; FGFR1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin,No
GO_BP,Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562),2.447422e-06,4.784018e-05,1909.84,3,FLT1; PPARG; FGFR1,BARDOXOLONE METHYL; BEZAFIBRATE; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE,No
KEGG,Breast cancer,2.461815e-06,1.922561e-05,360.66,5,RPS6KB1; PIK3R1; MTOR; FGFR1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin,No
GO_BP,Autophagosome Assembly (GO:0000045),2.612529e-06,5.012186e-05,645.48,4,BECN1; MAP1LC3B; ULK1; ATG5,Spermidine,No
GO_BP,Positive Regulation Of Cell Migration (GO:0030335),2.702520e-06,5.090565e-05,237.44,6,FLT1; SRC; EPHB2; MTOR; EPHA2; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin,No
KEGG,Mitophagy,3.132721e-06,2.270066e-05,606.44,4,BECN1; SRC; ULK1; ATG5,Dasatinib; Spermidine,No
